createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
04/26/2021 01:13:56,gridshot,10,9mm,0,-gitBranch.285,92.10526,96.0,91.0,92.0,89.0,100.0,100.0,67.0,89.0,279.98626287551139,276.19316766912283,288.52574443817127,284.34295491969334,279.73549984662969,290.66428833007814,239.64707946777344,306.28339385986328,250.78998374938968,213,228,3.50548577,210
04/26/2021 01:12:40,gridshot,10,9mm,0,-gitBranch.285,95.1111145,92.0,93.0,97.0,96.0,100.0,100.0,100.0,100.0,276.51573320192688,292.90854313062584,269.27928878784172,271.42091823268578,271.08529635342671,321.64194488525391,294.97624424525668,284.89805821010043,250.83197675432478,216,225,3.572378,214
04/26/2021 01:10:57,gridshot,10,9mm,0,-gitBranch.285,90.32258,86.0,93.0,92.0,91.0,91.0,100.0,100.0,83.0,301.58118135101938,302.46521585637868,295.44171142578119,325.02532172925538,302.15870666503918,293.30060729980471,269.78964063856341,235.55171508789061,269.64322204589843,199,217,3.27179241,196
04/26/2021 01:09:13,gridshot,10,9mm,0,-gitBranch.285,93.07359,91.0,90.0,94.0,96.0,80.0,100.0,100.0,100.0,274.73630094306418,274.74843538724446,280.14798006804097,283.99873352050781,269.22702821095788,327.63296127319336,236.90753936767578,259.32149887084961,253.63195970323349,218,231,3.58898735,215
04/26/2021 01:06:39,gridshot,10,9mm,0,-gitBranch.285,92.7966156,93.0,96.0,90.0,90.0,92.0,100.0,100.0,88.0,269.38083387401008,267.8891256080484,259.90092285156254,275.05670523136212,291.69938123548349,246.09040971235797,251.75178019205728,207.27865219116211,300.56394086565285,222,236,3.65569615,219
04/26/2021 01:04:07,gridshot,10,9mm,0,-gitBranch.285,95.25862,96.0,96.0,92.0,96.0,100.0,100.0,91.0,100.0,265.86697356625365,268.200390430207,258.73416625976569,282.90869394938159,261.01250084079032,239.46472930908203,303.780029296875,255.83477325439452,267.01510810852051,224,232,3.68922663,221
04/26/2021 01:02:58,gridshot,10,9mm,0,-gitBranch.285,93.93939,92.0,93.0,94.0,98.0,100.0,83.0,100.0,90.0,271.65470914357286,270.48283386230463,276.29201039096762,273.49282220069387,263.22292346489138,246.538454691569,390.75822143554689,265.24537963867186,234.04905192057291,220,231,3.622458,217
04/26/2021 00:58:29,gridshot,10,9mm,0,-gitBranch.285,92.98246,96.0,94.0,95.0,85.0,100.0,91.0,83.0,100.0,278.9688701629637,259.72956474459903,269.14489656336167,292.15394337972009,308.96158189039971,295.173585679796,289.37056274414061,300.73699035644529,245.93061447143555,215,228,3.539017,212
04/26/2021 00:56:41,gridshot,10,9mm,0,-gitBranch.285,94.32314,93.0,98.0,93.0,94.0,75.0,100.0,100.0,100.0,272.473525930334,251.60144083123453,279.62418192083175,281.92343955816222,272.9894217798265,376.45168050130206,209.22546386718747,264.25300470987958,287.07037862141931,219,229,3.60573149,216
04/26/2021 00:54:22,gridshot,10,9mm,0,-gitBranch.285,93.75,96.0,94.0,92.0,95.0,100.0,78.0,100.0,91.0,281.31904899960466,279.58050088321465,297.24835883246539,282.98999088368515,257.53313191731769,288.23404693603516,364.53698076520647,262.62833913167321,264.96073913574219,213,224,3.50547385,210
04/26/2021 00:52:12,gridshot,10,9mm,0,-gitBranch.285,93.36283,95.0,93.0,88.0,96.0,100.0,92.0,100.0,100.0,280.25648064635925,268.67543939443732,289.4441612243653,310.10947223042336,265.45130365545094,261.18999099731445,323.73635309392756,242.977392578125,216.19508143833704,214,226,3.52215338,211
04/26/2021 00:50:59,gridshot,10,9mm,0,-gitBranch.285,92.82511,94.0,88.0,93.0,94.0,100.0,100.0,100.0,88.0,283.41880960510559,277.81925933837897,305.32052438909358,277.31166188309851,281.51087639548575,262.80036315917971,248.77822875976563,282.47112274169922,300.52861458914623,210,223,3.45548058,207
04/26/2021 00:49:30,gridshot,12,9mm,0,-gitBranch.285,87.9807739,84.0,89.0,86.0,93.0,0.0,100.0,0.0,0.0,323.13869743138719,333.32291062672937,319.69640694412533,343.41521126883367,301.19993247985838,0,250.18769836425781,0,0,186,208,3.05475235,183
04/24/2021 02:20:06,gridshot,10,9mm,0,-gitBranch.285,90.66667,85.0,87.0,87.0,100.0,100.0,100.0,100.0,100.0,287.71058550067966,299.38768445528467,307.22512613932287,316.19127123283619,249.81698642306858,281.92620001898871,262.24608154296874,222.76313273111981,271.10898780822754,207,225,3.40528846,204
04/24/2021 02:17:55,gridshot,10,9mm,0,-gitBranch.285,87.5776443,80.0,87.0,94.0,88.0,100.0,100.0,100.0,100.0,419.11377483394989,389.77517191569007,467.68841830166895,427.82454076306578,411.54283583791636,272.43929290771484,468.09576416015625,325.69087219238281,410.15419006347656,144,161,2.35372758,141
04/24/2021 02:16:26,gridshot,10,9mm,0,-gitBranch.285,75.12195,70.0,81.0,84.0,71.0,82.0,100.0,62.0,50.0,385.31290435791016,401.07423858642579,376.69686235700345,363.01027727127064,375.88478377058703,363.02390543619794,258.23342895507813,505.03231201171877,551.17105102539063,157,205,2.57071471,154
04/24/2021 02:14:17,gridshot,10,9mm,0,-gitBranch.285,87.96296,81.0,92.0,95.0,88.0,90.0,88.0,100.0,75.0,310.14657038638484,336.16178113360746,307.96449444745031,294.83093509158562,292.18073654174805,262.63296169704859,312.58991786411832,319.78069051106769,403.50159030490454,193,216,3.17160845,190
04/24/2021 02:12:02,gridshot,10,9mm,0,-gitBranch.285,87.7862549,92.0,86.0,89.0,94.0,88.0,60.0,50.0,78.0,517.43215159540591,510.0979017174763,557.99329737613084,488.04953002929688,501.75828806559247,498.60184151785717,536.08349609375,915.4444580078125,587.62469046456476,118,131,1.91972089,115
04/09/2021 06:51:35,gridshot,10,9mm,0,-gitBranch.285,93.61702,92.0,96.0,89.0,98.0,92.0,100.0,75.0,100.0,266.751335074685,275.37042479081583,249.96501720194908,286.05521497539439,254.4981845219931,300.55359013875324,230.5074825286865,287.02517191569012,235.22282409667969,223,235,3.67249346,220
