createDate,taskName,mode,weaponName,map,version,timeToTrace,linesTotal,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
04/26/2021 00:47:35,linetrace,10,9mm,0,-gitBranch.285,2.0,27,98.68283,100.0,78.0,78.0,83.0,100.0,80.0,86.0,88.0,2117.4450757162913,1829.2432861328125,1700.6533268519811,1771.7733357747397,1811.790283203125,2262.079125976562,2707.1539459228516,2268.9839884440107,2329.0832519531255,28,65,0.4682939,56
04/26/2021 00:46:25,linetrace,10,9mm,0,-gitBranch.285,2.0,25,100.0,89.0,100.0,89.0,100.0,100.0,100.0,100.0,100.0,2259.9470490675708,1798.8936055501301,1866.6214599609375,2076.7594517299108,2062.0260881696427,3003.693115234375,2912.7207641601563,2405.637125651042,2719.927042643229,26,54,0.434552461,52
04/26/2021 00:45:08,linetrace,10,9mm,0,-gitBranch.285,2.0,30,93.59387,100.0,82.0,88.0,100.0,70.0,75.0,100.0,80.0,1952.5346509589526,1601.5971557617188,1679.439630126953,1839.3562622070313,1690.4701131184895,2345.3785807291665,2301.6388956705728,2030.8457183837893,2331.8241102430557,31,71,0.5098665,61
04/26/2021 00:43:21,linetrace,10,9mm,0,-gitBranch.285,2.0,28,94.92805,100.0,78.0,100.0,100.0,89.0,80.0,75.0,100.0,2096.5933792381957,1761.1357727050781,1767.7802015032089,2123.5990478515623,1783.1168009440105,2359.6193305121528,2494.5535191127233,2289.1475830078125,2143.582763671875,29,64,0.476575941,57
04/09/2021 06:33:21,linetrace,10,9mm,0,-gitBranch.285,2.0,33,91.1673,73.0,89.0,82.0,80.0,100.0,80.0,89.0,91.0,1736.7926817501293,1442.2687191433376,1457.8332061767578,1561.8079223632813,1614.0374891493057,1914.5043809678818,2293.8777872721357,1980.9812774658203,1781.487371271307,34,80,0.568652868,68
03/24/2021 09:03:32,linetrace,10,9mm,0,-gitBranch.285,2.0,29,95.4255,88.0,100.0,88.0,80.0,88.0,89.0,80.0,100.0,2003.6878853490794,1567.4819831848147,1715.6391252790179,1855.0677664620534,2078.5552062988277,2317.3524305555557,2307.6491943359374,2111.5745849609375,2110.0526801215278,30,67,0.4928888,59
03/24/2021 09:02:12,linetrace,10,9mm,0,-gitBranch.285,2.0,29,100.0,78.0,89.0,100.0,78.0,100.0,100.0,86.0,100.0,1969.7009221394858,1767.1119171142577,1923.7637939453125,1698.8639678955078,1806.6632690429688,2251.5543009440103,2087.4481811523433,2171.2877807617188,2251.9619663783483,30,66,0.501939356,60
03/24/2021 09:00:57,linetrace,10,9mm,0,-gitBranch.285,2.0,30,95.9006348,100.0,62.0,90.0,88.0,100.0,100.0,70.0,90.0,1943.3386737010517,1443.7840013504028,1815.1738978794642,1667.1498565673828,1864.5143890380859,2101.1770891462052,2351.616577148438,2257.5580444335942,2100.4794769287109,31,72,0.5095302,61
03/23/2021 03:27:18,linetrace,10,9mm,0,-gitBranch.285,1.0,40,82.6731949,83.0,100.0,82.0,80.0,85.0,77.0,83.0,85.0,1457.2255034270113,1216.9892836350662,1215.5980169122868,1271.3982696533203,1364.5252227783203,1837.809802246094,1668.9129638671875,1534.9037231445313,1576.2885520241477,41,96,0.678817153,81
03/23/2021 03:26:06,linetrace,10,9mm,0,-gitBranch.285,1.0,42,83.49693,92.0,93.0,79.0,79.0,92.0,90.0,82.0,75.0,1394.9555200913371,1117.630326491136,1154.0462290445964,1466.5419311523438,1509.1901123046873,1392.2965515136716,1679.3429633246526,1456.2260681152343,1530.6215376420457,43,100,0.710401535,85
