createDate,taskName,mode,weaponName,map,version,KPS,SPK,accTotal,timePerKill,killTotal,shotsTotal,missUp,missUpLeft,missUpRight,missLeft,missRight,missDown,missDownLeft,missDownRight
03/15/2021 01:11:49,strafeshot,3,9mm,0,-gitBranch.285,0.200317919,11.5,27.536232,4662.0828247070313,12,138,0,4,3,35,56,0,4,2
03/10/2021 08:12:33,strafeshot,11,9mm,0,-gitBranch.285,0.501371741,5.133333,59.0909081,1948.2476399739583,30,154,0,0,1,29,33,0,0,0
03/08/2021 06:41:15,strafeshot,10,9mm,0,-gitBranch.285,0.6677679,4.45,67.41573,1488.4189682006838,40,178,0,1,1,31,24,0,0,1
03/08/2021 06:40:03,strafeshot,10,9mm,0,-gitBranch.285,0.651562154,4.41025639,69.18604,1513.9148356119792,39,172,0,1,5,27,20,0,2,0
03/06/2021 05:50:46,strafeshot,10,9mm,0,-gitBranch.285,0.6844487,4.121951,72.78106,1452.9499690358227,41,169,0,0,0,22,25,0,0,0
03/06/2021 05:48:32,strafeshot,10,9mm,0,-gitBranch.285,0.7011564,4.11904764,72.83237,1412.0087164015997,42,173,0,0,0,25,24,0,1,0
03/02/2021 01:55:54,strafeshot,3,9mm,0,-gitBranch.285,0.217016682,7.076923,42.391304,4486.1772648737979,13,92,0,0,0,23,28,0,0,0
03/02/2021 01:54:42,strafeshot,3,9mm,0,-gitBranch.285,0.166935459,12.5,25.6,4949.399194335937,10,125,0,2,1,38,52,0,2,0
03/02/2021 01:53:32,strafeshot,3,9mm,0,-gitBranch.285,0.217006028,9.230769,32.5,4394.2864332932695,13,120,0,0,1,35,45,0,0,0
03/02/2021 01:52:20,strafeshot,3,9mm,0,-gitBranch.285,0.233701617,9.142858,33.59375,3797.1829485212056,14,128,0,1,1,39,46,0,0,0
03/02/2021 01:23:01,strafeshot,3,9mm,0,-gitBranch.285,0.183619946,10.363636,28.9473686,5429.739280007102,11,114,0,4,5,36,36,0,0,0
02/25/2021 01:54:20,strafeshot,10,9mm,0,-gitBranch.285,0.6010091,4.47222233,67.08075,1646.0203721788193,36,161,0,0,0,25,27,0,0,0
02/25/2021 01:53:09,strafeshot,10,9mm,0,-gitBranch.285,0.567588747,4.23529434,71.52778,1721.914714140051,34,144,0,1,1,20,19,0,0,0
02/25/2021 01:51:57,strafeshot,10,9mm,0,-gitBranch.285,0.617674649,4.189189,72.90323,1579.5833855706296,37,155,0,0,0,20,20,0,0,0
02/25/2021 01:50:44,strafeshot,10,9mm,0,-gitBranch.285,0.617681265,4.40540552,68.09816,1604.8045027449323,37,163,0,1,0,24,25,0,0,0
02/25/2021 00:09:25,strafeshot,10,9mm,0,-gitBranch.285,0.701146364,4.142857,73.56322,1372.4887273879278,42,174,0,3,1,23,21,0,0,0
02/25/2021 00:07:55,strafeshot,10,9mm,0,-gitBranch.285,0.701324761,4.285714,70.0,1423.2312927246096,42,180,0,1,0,26,28,0,0,0
02/24/2021 23:58:07,strafeshot,3,9mm,0,-gitBranch.285,0.150233254,8.222222,36.4864845,6627.0508083767363,9,74,0,0,0,22,27,0,0,0
02/24/2021 23:55:48,strafeshot,3,9mm,0,-gitBranch.285,0.150238842,6.33333349,47.3684235,6535.62646484375,9,57,0,0,0,14,17,0,0,0
02/24/2021 23:54:34,strafeshot,3,9mm,0,-gitBranch.285,0.1335454,8.125,40.0,7112.1180419921875,8,65,0,0,0,21,17,0,0,0
02/24/2021 23:53:23,strafeshot,3,9mm,0,-gitBranch.285,0.21700722,8.307693,37.0370369,4228.8768404447119,13,108,0,0,1,28,37,0,0,0
02/24/2021 23:51:39,strafeshot,3,9mm,0,-gitBranch.285,0.217009112,10.4615383,28.6764717,4567.1223989633418,13,136,1,1,4,45,44,0,1,4
02/24/2021 23:26:14,strafeshot,3,9mm,0,-gitBranch.285,0.18362461,8.181818,37.77778,5126.1070001775561,11,90,0,0,1,21,34,0,0,0
02/23/2021 20:37:04,strafeshot,3,9mm,0,-gitBranch.285,0.200311929,10.25,29.2682915,4980.1039530436192,12,123,0,3,6,38,42,0,0,0
02/23/2021 19:25:13,strafeshot,3,9mm,0,-gitBranch.285,0.150232852,11.0,29.2929287,6349.9876573350684,9,99,0,4,2,38,25,0,1,0
02/23/2021 19:24:03,strafeshot,3,9mm,0,-gitBranch.285,0.1836271,11.090909,27.049181,5161.5997647372151,11,122,0,1,3,34,48,0,0,0
02/23/2021 16:47:35,strafeshot,3,9mm,0,-gitBranch.285,0.20030871,9.25,32.43243,4838.98232014974,12,111,0,2,5,33,34,0,0,0
02/23/2021 02:16:59,strafeshot,3,9mm,0,-gitBranch.285,0.200320572,12.333333,24.3243256,4980.349365234375,12,148,0,2,0,47,65,0,0,0
02/23/2021 02:06:11,strafeshot,3,9mm,0,-gitBranch.285,0.166928425,14.3,21.6783218,5923.6503295898438,10,143,0,1,5,49,59,0,0,0
02/22/2021 06:24:31,strafeshot,12,HighNoon,0,-gitBranch.285,0.5677416,3.67647052,82.4,1729.4790936638328,34,125,0,0,0,14,13,0,0,0
