createDate,taskName,mode,weaponName,map,version,OTR,avgTimeOn,maxTimeOn,avgTimeOff,maxTimeOff,missUp,missUpLeft,missUpRight,missLeft,missRight,missDown,missDownLeft,missDownRight
03/06/2021 05:54:01,strafetrack,10,9mm,0,-gitBranch.285,54.0000038,200.361252,1336.00122,165.589737,944.0005,0,0,0,1010,1401,0,6,13
03/06/2021 05:52:49,strafetrack,10,9mm,0,-gitBranch.285,54.0000038,216.111115,1336.00122,181.777756,487.9996,0,17,0,1104,1342,0,9,6
03/02/2021 06:14:34,strafetrack,12,9mm,0,-gitBranch.285,69.0,396.831726,1336.00122,173.490173,487.9996,0,0,5,528,748,0,0,2
03/02/2021 06:13:17,strafetrack,12,9mm,0,-gitBranch.285,70.0,426.3334,1336.00122,174.680389,495.9996,0,2,3,553,580,0,0,0
03/02/2021 02:08:39,strafetrack,12,9mm,0,-gitBranch.285,65.0,318.06662,1128.00085,161.933319,447.9997,0,0,0,714,784,0,1,0
03/02/2021 01:57:26,strafetrack,3,9mm,0,-gitBranch.285,46.0,132.1237,704.0,158.358963,744.000061,0,13,4,1688,2333,0,11,5
03/02/2021 01:37:55,strafetrack,3,9mm,0,-gitBranch.285,52.0,143.882339,720.0,130.705872,599.999756,0,12,7,1444,2074,0,0,2
02/25/2021 01:58:43,strafetrack,10,9mm,0,-gitBranch.285,52.0,202.523468,1288.00122,180.671127,960.0005,0,14,7,1270,1147,0,7,7
02/25/2021 01:57:33,strafetrack,10,9mm,0,-gitBranch.285,55.0,218.301392,1336.00122,174.367325,607.9998,0,10,28,929,1429,0,8,1
02/25/2021 01:56:22,strafetrack,10,9mm,0,-gitBranch.285,51.0,198.630142,1336.00122,191.999969,816.000244,0,46,5,1257,1253,8,13,27
02/25/2021 00:06:05,strafetrack,10,9mm,0,-gitBranch.285,56.0,238.705887,1336.00122,185.176437,976.000549,0,3,20,1150,1081,0,9,11
02/25/2021 00:04:55,strafetrack,10,9mm,0,-gitBranch.285,49.0,185.254913,1336.00122,186.718933,1040.00073,0,34,7,1392,1318,0,9,37
02/24/2021 23:27:36,strafetrack,3,9mm,0,-gitBranch.285,44.0,113.437782,519.999634,144.331787,744.000061,0,71,36,1847,2178,0,7,7
02/23/2021 20:39:34,strafetrack,3,9mm,0,-gitBranch.285,40.0,120.605392,495.9996,183.697281,599.999756,0,23,13,1942,2444,0,18,4
02/23/2021 20:38:21,strafetrack,3,9mm,0,-gitBranch.285,42.0,145.030655,495.9996,204.711624,1192.001,0,102,41,1834,2349,1,22,3
02/23/2021 19:26:40,strafetrack,3,9mm,0,-gitBranch.285,38.0,119.8644,463.999664,197.797729,696.0,0,18,13,1978,2569,0,0,0
02/23/2021 16:48:56,strafetrack,3,9mm,0,-gitBranch.285,44.0,128.757889,527.999634,166.324585,575.999756,0,20,7,1842,2268,0,11,13
02/23/2021 02:18:13,strafetrack,3,9mm,0,-gitBranch.285,39.0,97.08597,575.999756,155.531525,864.0003,0,16,40,2027,2383,0,33,38
02/23/2021 02:07:37,strafetrack,3,9mm,0,-gitBranch.285,40.0,114.461533,567.9997,173.907669,551.9997,0,3,11,2278,2123,0,21,10
